,label,text,clean_text
42,Fake,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",rep david cicilline responsible federal loan guarantee solyndra failed solar company
43,Fake,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,says ohio budget item later signed law gov john kasich requires women seeking abortion undergo mandatory vaginal probe
44,Fake,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,director homeland security cannot use use term terrorist attack instead substitutes manmade disaster
45,Real,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,africanamerican youth unemployment  percent hispanic youth unemployment  percent
46,Fake,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",obamacare provide insurance nonus residents even illegally
47,Fake,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,president barack obama took exactly none deficit reduction commissions ideas one
48,Fake,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,barack obama hillary clinton changed rules engagement probably cost capt humayun khans life
49,Real,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,hillary clinton  cosponsored legislation would jail flag burners
50,Fake,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,says paperback edition mitt romneys book deleted line massachusetts individual mandate model country
51,Fake,"Maggie Hassan raised tuition, making it the highest in America.",maggie hassan raised tuition making highest america
52,Fake,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,says terry mcauliffe person invented scheme rent lincoln bedroom
53,Real,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",created  new jobs cut unemployment rate almost half today new york state private sector jobs ever history
54,Fake,"We have towns in West Texas that are out of water, that are having to truck in water.",towns west texas water truck water
55,Real,"In Georgia, women earn 82 cents for every dollar earned by men.",georgia women earn  cents every dollar earned men
56,Real,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,federal system verifies employees authorized work us inaccurate anywhere  percent way excess  percent time
57,Fake,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",going build wall ago long ago like  couldnt get environmental impact statements
58,Fake,Sen. Obama's campaign announced that he's choosing his cabinet.,sen obamas campaign announced hes choosing cabinet
59,Real,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",percent latinos texas registered vote  percent actually turned
60,Fake,Only 2 percent of public high schools in the country offer PE classes.,percent public high schools country offer pe classes
61,Real,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",said hes republican candidate whos actually turned around government economy
62,Real,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",military recruiters harvard elena kagan took position supreme court ruled unanimously wrong
63,Real,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",public school teachers texas  nonteachers public schools
64,Fake,"Under Mayor Cicilline, [Providence] was a sanctuary city.",mayor cicilline providence sanctuary city
65,Fake,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,transgender individuals us in chance murdered
66,Real,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",bain capital helped start early childhood learning company called bright horizons first lady michelle obama rightly praised
67,Fake,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",says man rushed stage dayton ohio chatter isis isis social media posts
68,Fake,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,us rep phil gingrey gave government power electronically spy americans without warrant
69,Fake,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,alex sink funneled three quarters million dollars nobid contracts bank america
70,Real,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",take population growth virginia net zero job creation since bob mcdonnell became governor
71,Fake,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",obama home values florida collapsed construction jobs lost state high foreclosure rate
72,Real,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",new arizona immigration law says police officer stop anyone appears reasonably suspicious undocumented person
73,Real,The only time in our history when the debt has been higher than this was the end of World War II.,time history debt higher end world war ii
74,Real,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,cost health care singlebiggest factor driving federal budget deficit
75,Real,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",recession consumer native perversity begun save savings rate  percent
76,Fake,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,whether us supreme court nominee forthcoming confirmation hearings
77,Fake,Says one out of three U.S. homeless men is a veteran.,says one three us homeless men veteran
78,Fake,Says Charlie Crist supports cuts to the Medicare Advantage program.,says charlie crist supports cuts medicare advantage program
79,Real,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,think unacceptable chinese today larger wind power solar panels photovoltaic manufacturing europe put together  forget united states
80,Real,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,says scott brown cosponsored legislation let employers deny women coverage birth control
81,Real,"At some point in their lives, 99% of women use birth control.",point lives  women use birth control
82,Fake,"In the past 20 years, Egypt has made great strides in political and democratic reform.",past  years egypt made great strides political democratic reform
83,Fake,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,amount attention paid week chris christie makes coverage benghazi  pale significance
84,Real,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,says us rep steve southerland voted keep shutdown going
85,Real,"In Rick Perrys Texas, we import nurses ... from other countries.",rick perrys texas import nurses  countries
86,Real,There is a federal criminal law that says its a crime to transport dentures across state lines.,federal criminal law says crime transport dentures across state lines
87,Real,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,built new prison every  days   keep mass incarceration explosion nonviolent offenders
88,Fake,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",sen mccains tax plan provides virtually nothing middle class
89,Fake,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,austin burdened fastestgrowing tax increases major city nation
90,Fake,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",phoenix arizona  kidnapping capital world
91,Real,I belong to the AFL-CIO.,belong aflcio
92,Real,The insurance commissioner cant do squat about health care.,insurance commissioner cant squat health care
93,Real,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,says poll found republican candidate could beat barack obama texas  eight points
94,Fake,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",president ronald reagan sent troops conflict one circumstance grenada peacekeeping setting lebanon
95,Fake,Says David Jolly supports privatizing Social Security.,says david jolly supports privatizing social security
96,Real,Did you know US population growth is at its lowest since the Great Depression?,know us population growth lowest since great depression
97,Real,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",average student florida actually pay pocket major universities tuition much less spend cellphones
98,Real,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",since  americans died gunfire died wars countrys history
99,Real,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,foreclosure tax would take effect  could mean high tax bill facing foreclosure millions families modified mortgage short sale lender
100,Fake,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,florida department agricultures website freshfromfloridacom used get permit carry loaded hidden gun without ever leaving house
101,Fake,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",atlanta streetcar expected create  jobs construction totaling  jobs next  years
102,Real,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",raising minimum wage  hour would help lift million americans poverty
103,Real,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",says secretary state john kerry senator flew managua met communist dictator daniel ortega accused reagan administration engaging terrorism
104,Fake,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",nato opening major terror division  im sure im going get credit largely saying criticism nato
105,Real,Sen. Obama has always had a 100 percent prochoice rating.,sen obama always  percent prochoice rating
106,Real,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",since gina raimondo took office investment fees states pension portfolio gone  million annually  million
107,Real,The (federal) debt is growing by more than $4 billion a day.,federal debt growing  billion day
108,Real,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",president barack obamas jobs bill states would longer lay teachers firefighters police officers
109,Fake,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",teachers  teachers today  years old
110,Real,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,twothirds wisconsinites receiving unemployment checks required search work due current work search exemptions
111,Real,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",president obamas healthcare reforms premium average plan family didnt go  per year gone  per year
112,Real,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",irs also investigated liberal groups groups progressive name  irs basically looking everybody
113,Fake,Says Obama promised unemployment would never go above 8 percent.,says obama promised unemployment would never go  percent
114,Real,The economy is creating jobs at the fastest pace since 1999.,economy creating jobs fastest pace since
115,Real,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,president obama decided meet prime minister benjamin netanyahu new york
116,Real,"In a majority of states, you can now marry freely, but can still be fired for who you love.",majority states marry freely still fired love
117,Fake,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,say oregon reps peter defazio earl blumenauer socialists openly serving us congress
118,Fake,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",rudy giuliani probably underqualified man since george bush seek presidency
119,Fake,"About half of the presidents have been governors; half of them, senators.",half presidents governors half senators
120,Real,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",britains vote leave european union within  hours americans lost  billion ks
121,Real,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",medicaid spending declined  percent  second decline  years
122,Real,Says 88 Texas constables have died in the line of duty.,says  texas constables died line duty
123,Real,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",gov rick scott cut cost prepaid college tuition nearly
124,Real,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",city columbus would save  million year employees contribute guaranteedcheck pensions
125,Real,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",floridas cfo shut krakows scam refunded  million josephine victims con man
126,Real,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,women getting computer sciences degrees factor plus
127,Fake,The Air Force wants taxpayers to fund a fantasy football league.,air force wants taxpayers fund fantasy football league
128,Fake,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.,barack hussein obama  force courts accept islamic sharia law domestic disputes
129,Real,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,percent murders crimes committed guns people actually legally purchase guns
130,Real,Some neighborhood schools are closing.,neighborhood schools closing
131,Real,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.,told gay organizers massachusetts would stronger advocate special rights even ted kennedy
132,Real,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.",years speaker florida house consistently offered leaner budgets governor offered
133,Fake,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.",already almost halfway  goal creating  new jobs seven years
134,Real,Says the U.S. Supreme Court found that Social Security is not guaranteed.,says us supreme court found social security guaranteed
135,Fake,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,saysmichael bennet wants close guantanamo bay prisonand bring terrorists right colorado
136,Real,Oregonians have an amazing no-cost way to fight abortion with free political donations,oregonians amazing nocost way fight abortion free political donations
137,Fake,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.",president said hes going bring  syrian iraqi refugees country
138,Fake,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.",research shows vast majority arriving immigrants today come believe government source prosperity thats support
139,Real,Newt Gingrichs immigration plan offers a new doorway to amnesty.,newt gingrichs immigration plan offers new doorway amnesty
140,Fake,Mr. Caprio is a career politician who has never worked in the private sector.,mr caprio career politician never worked private sector
141,Fake,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.",rhode island  percent workers use states temporary disability insurance program year new jersey rate  percent
142,Real,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!",years spending social security federal health care interest debt exceed tax revenue
143,Real,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.,president obama took money wall street  campaign anybody ever
144,Real,Donald Trump has said nuclear proliferation is OK.,donald trump said nuclear proliferation ok
145,Real,"Hillary Clinton has taken over $800,000 from lobbyists.",hillary clinton taken  lobbyists
146,Fake,Barack Obama has never even worked in business.,barack obama never even worked business
147,Real,Says the Arizona immigration law expressly bans racial profiling.,says arizona immigration law expressly bans racial profiling
148,Fake,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,says gov rick perry begging federal government send coast guard patrol two lakes usmexico border
149,Fake,"On the VA: Over 300,000 veterans have died waiting for care.",va  veterans died waiting care
150,Real,Were now spending 42 percent of our economy on government.,spending  percent economy government
151,Fake,Rob Cornilles supports privatizing Medicare.,rob cornilles supports privatizing medicare
152,Fake,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",dan branch tried expand thirdtrimester abortions texas
153,Real,We (Democrats) have made steady progress creating jobs and improving our schools.,democrats made steady progress creating jobs improving schools
154,Fake,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.,michigan massachusetts raised bottle deposit could longer afford program redemptions high profit
155,Real,"Whether you like to admit it or not, half our general revenue goes to education.",whether like admit half general revenue goes education
156,Fake,Im the only one whos fought against developers draining the Everglades!,im one whos fought developers draining everglades
157,Real,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,says ron johnson calls social security ponzi scheme wants privatize program
158,Real,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",states  cities type policies passed referring north carolinas house bill
159,Fake,Climate change is directly related to the growth of terrorism.,climate change directly related growth terrorism
160,Fake,The jobs bill includes President Obamas tax on soup kitchens,jobs bill includes president obamas tax soup kitchens
161,Fake,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.,says obama administration spent taxpayer dollars electric cars finland windmills china
162,Real,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,sarah mayor wasilla tried fire highly respected city librarian librarian refused consider removing library books sarah wanted removed
163,Real,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",milwaukee approves reducing maximum forfeiture marijuana possession  city would  different bicycle violations higher forfeiture
164,Fake,We have more illegal immigrants here than we did five years ago.,illegal immigrants five years ago
165,Fake,Says Rick Perry wrote a letter supporting Hillarycare.,says rick perry wrote letter supporting hillarycare
166,Fake,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,us patent trademark office received zero complaints washington redskins name
167,Fake,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage.",presidents health care proposals cause americans premiums increased decreased hundreds millions people lose current insurance coverage
168,Real,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.,mexican immigrants lawabiding us citizens statistic
169,Real,Says Chris Christie vetoed a jobs package of 30 bills.,says chris christie vetoed jobs package  bills
170,Real,There are already more American jobs in the solar industry than in coal mining.,already american jobs solar industry coal mining
171,Real,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,says illinois gubernatorial candidate bill bradys first priority winning primary sponsor bill would masseuthanize sheltered dogs cats gas chambers
172,Real,Barack Obama is in an economy thats only worsened since hes been president of the United States.,barack obama economy thats worsened since hes president united states
173,Real,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",romney failed take action sanctuary cities massachusetts
174,Real,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",says new jersey nearly  jobs prerecession peak gov chris christie new jersey trailed rest america comes unemployment  consecutive months
175,Fake,Says Thomas Eric Duncan came into the United States with an elevated temperature.,says thomas eric duncan came united states elevated temperature
176,Real,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.,afghanistan longer foreign land conducting war nations history
177,Real,Gas prices have gone up $2 since Obama took office.,gas prices gone  since obama took office
178,Real,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,webster sponsored bill create form marriage would trap women abusive relationships
179,Real,Says judges get better benefits at a lower cost than everybody else in the state.,says judges get better benefits lower cost everybody else state
180,Real,There are a lot of casinos across the country that have gone bankrupt.,lot casinos across country gone bankrupt
181,Real,Small businesses create 70 percent of the jobs in America.,small businesses create  percent jobs america
182,Real,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",seniors coverage medicare advantage give share health care reform
183,Real,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",school kids arrested florida makes florida nations leader area
184,Real,If Texas were a country our economy would rank # 10...in the WORLD.,texas country economy would rank in world
185,Fake,There are more oil rigs in operation in the United States than the rest of the world combined.,oil rigs operation united states rest world combined
186,Real,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",payday lenders profit poor charging plus percent interest
187,Real,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",social security trust fund sound without anything done would function well  even time changes could pay  percent benefits people earned
188,Real,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.,commitment voters take seriously incumbent ohio break pledge vote ted stricklands income tax hike defeated soundly tuesday
189,Fake,The Obama administration shut down the Amber Alert program because of the government shutdown.,obama administration shut amber alert program government shutdown
190,Real,The Republicans have 2 percent of the Muslim vote.,republicans  percent muslim vote
191,Real,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!",see americas prison population exploding america greater percentage people behind bars nation world
192,Fake,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output.",says hearing rep gabrielle giffords suggested gen david petraeus army put emphasis less environmentally damaging methods like stabbing clubbing enemy forces order minimize carbon output
193,Real,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",every single one  republican senators blocked raise minimum wage receive  costofliving adjustment january
194,Real,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",texas  name new male babies many vote one day jose
195,Real,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.,marco rubio voted authorizing president obama strike syria assad used chemical weapons people
196,Fake,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",cash clunkers program weve got  go local junkyard youve got tow house youre going get
197,Fake,Not one Republican has the guts to recognize that climate change is real.,one republican guts recognize climate change real
198,Real,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",people work longer hours lower wages almost new income goes top  percent
199,Fake,David Dewhurst has a record of promoting an income tax.,david dewhurst record promoting income tax
200,Real,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons,point pleasant beach beaches privately owned operated businesses jenkinsons
201,Fake,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there.",past year  percent americans changed mind war afghanistan conclude shouldnt
202,Fake,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",last five years  people killed along usmexico border
203,Fake,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.,state ohio one lowest unemployment rates nation right leading pack terms job creation
204,Fake,Says Obama health reform law denies millions access to affordable insurance.,says obama health reform law denies millions access affordable insurance
205,Fake,Says HB2 hasnt moved the needle one iota on North Carolinas economy.,says hb hasnt moved needle one iota north carolinas economy
206,Fake,Close to 30% of our federal prison population consists of illegal immigrants.,close  federal prison population consists illegal immigrants
207,Fake,Says Rick Scott called education not a core function of the state.,says rick scott called education core function state
208,Fake,"The Family Research Council, according to some government agencies, is a terrorist group.",family research council according government agencies terrorist group
209,Real,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",says rep jim weidner proposed bill taking away health care  oregons children
210,Real,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,says  election former gov tom kean largest winning margin gubernatorial candidate jersey history
211,Fake,Obamacare is the biggest tax increase in American history.,obamacare biggest tax increase american history
212,Real,You ... said that Barack Obama was not ready to be commander in chief.,said barack obama ready commander chief
213,Real,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically.",median male worker country seen raise inflation adjusted  years basically
214,Fake,Milwaukee Mayor Tom Barrett has held the line on property taxes.,milwaukee mayor tom barrett held line property taxes
215,Real,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,im member house representatives raised campaign funds last election small contributions less
216,Real,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",unlike gridlock washington  percent bills passed general assembly bipartisan support
217,Fake,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,josh mandel lying record rating ohios investment fund improved
218,Real,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it.",rick scott took  family leased land drilling trying hide
219,Real,On how money from a possible lease of the Ohio Turnpike would be used,money possible lease ohio turnpike would used
